"superclass","subclass"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Canoeist"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/ChessPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Cricketer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Cyclist"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/DartsPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Fencer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/GaelicGamesPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/GolfPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/GridironFootballPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Gymnast"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/HandballPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/HighDiver"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/HorseRider"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Jockey"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/LacrossePlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/MartialArtist"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/MotorsportRacer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/NetballPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/PokerPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Rower"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/RugbyPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Sailor"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/SnookerPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/SoccerPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/SquashPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Surfer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Swimmer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/TableTennisPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/TeamMember"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/TennisPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/VolleyballPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/WaterPoloPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/WinterSportPlayer"
"http://dbpedia.org/ontology/Athlete","http://dbpedia.org/ontology/Wrestler"
"http://dbpedia.org/ontology/Award","http://dbpedia.org/ontology/Decoration"
"http://dbpedia.org/ontology/Award","http://dbpedia.org/ontology/NobelPrize"
"http://dbpedia.org/ontology/Beverage","http://dbpedia.org/ontology/Beer"
"http://dbpedia.org/ontology/Beverage","http://dbpedia.org/ontology/Vodka"
"http://dbpedia.org/ontology/Beverage","http://dbpedia.org/ontology/Wine"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Enzyme"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Gene"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Hormone"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Lipid"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Polysaccharide"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/Protein"
"http://dbpedia.org/ontology/Biomolecule","http://dbpedia.org/ontology/ہارمون"
"http://dbpedia.org/ontology/BodyOfWater","http://dbpedia.org/ontology/Bay"
"http://dbpedia.org/ontology/BodyOfWater","http://dbpedia.org/ontology/Lake"
"http://dbpedia.org/ontology/BodyOfWater","http://dbpedia.org/ontology/Ocean"
"http://dbpedia.org/ontology/BodyOfWater","http://dbpedia.org/ontology/Sea"
"http://dbpedia.org/ontology/BodyOfWater","http://dbpedia.org/ontology/Stream"
"http://dbpedia.org/ontology/Boxer","http://dbpedia.org/ontology/AmateurBoxer"
"http://dbpedia.org/ontology/BritishRoyalty","http://dbpedia.org/ontology/Baronet"
"http://dbpedia.org/ontology/Broadcaster","http://dbpedia.org/ontology/BroadcastNetwork"
"http://dbpedia.org/ontology/Broadcaster","http://dbpedia.org/ontology/RadioStation"
"http://dbpedia.org/ontology/Broadcaster","http://dbpedia.org/ontology/TelevisionStation"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Casino"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Castle"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Factory"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/HistoricBuilding"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Hotel"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Museum"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Prison"
