superclass,subclass,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Humorist,Artist,Humorist
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/MusicalArtist,Artist,MusicalArtist
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Painter,Artist,Painter
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Photographer,Artist,Photographer
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Sculptor,Artist,Sculptor
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/ontology/Painting,Artwork,Painting
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/ontology/Sculpture,Artwork,Sculpture
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/ArcherPlayer,Athlete,ArcherPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/AthleticsPlayer,Athlete,AthleticsPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/AustralianRulesFootballPlayer,Athlete,AustralianRulesFootballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BadmintonPlayer,Athlete,BadmintonPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BaseballPlayer,Athlete,BaseballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BasketballPlayer,Athlete,BasketballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Bodybuilder,Athlete,Bodybuilder
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Boxer,Athlete,Boxer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BullFighter,Athlete,BullFighter
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Canoeist,Athlete,Canoeist
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/ChessPlayer,Athlete,ChessPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Cricketer,Athlete,Cricketer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Cyclist,Athlete,Cyclist
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/DartsPlayer,Athlete,DartsPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Fencer,Athlete,Fencer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GaelicGamesPlayer,Athlete,GaelicGamesPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GolfPlayer,Athlete,GolfPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GridironFootballPlayer,Athlete,GridironFootballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Gymnast,Athlete,Gymnast
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/HandballPlayer,Athlete,HandballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/HighDiver,Athlete,HighDiver
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/HorseRider,Athlete,HorseRider
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Jockey,Athlete,Jockey
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/LacrossePlayer,Athlete,LacrossePlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/MartialArtist,Athlete,MartialArtist
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/MotorsportRacer,Athlete,MotorsportRacer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete,Athlete,NationalCollegiateAthleticAssociationAthlete
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/NetballPlayer,Athlete,NetballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/PokerPlayer,Athlete,PokerPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Rower,Athlete,Rower
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/RugbyPlayer,Athlete,RugbyPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Sailor,Athlete,Sailor
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SnookerPlayer,Athlete,SnookerPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SoccerPlayer,Athlete,SoccerPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SquashPlayer,Athlete,SquashPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Surfer,Athlete,Surfer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Swimmer,Athlete,Swimmer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/TableTennisPlayer,Athlete,TableTennisPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/TeamMember,Athlete,TeamMember
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/TennisPlayer,Athlete,TennisPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/VolleyballPlayer,Athlete,VolleyballPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/WaterPoloPlayer,Athlete,WaterPoloPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/WinterSportPlayer,Athlete,WinterSportPlayer
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Wrestler,Athlete,Wrestler
http://dbpedia.org/ontology/Award,http://dbpedia.org/ontology/Decoration,Award,Decoration
http://dbpedia.org/ontology/Award,http://dbpedia.org/ontology/NobelPrize,Award,NobelPrize
http://dbpedia.org/ontology/Beverage,http://dbpedia.org/ontology/Beer,Beverage,Beer
http://dbpedia.org/ontology/Beverage,http://dbpedia.org/ontology/Vodka,Beverage,Vodka
http://dbpedia.org/ontology/Beverage,http://dbpedia.org/ontology/Wine,Beverage,Wine
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Enzyme,Biomolecule,Enzyme
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Gene,Biomolecule,Gene
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Hormone,Biomolecule,Hormone
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Lipid,Biomolecule,Lipid
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Polysaccharide,Biomolecule,Polysaccharide
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/Protein,Biomolecule,Protein
